"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2019","3.05","2.99","3.15","2.93","3.67","2.01%"
"Dec 29, 2019","2.99","2.96","2.99","2.94","665.00K","2.75%"
"Dec 26, 2019","2.91","2.98","2.99","2.90","628.10K","-2.68%"
"Dec 25, 2019","2.99","2.97","2.99","2.97","868.30K","1.01%"
"Dec 24, 2019","2.96","2.89","2.96","2.89","115.90K","1.02%"
"Dec 23, 2019","2.93","2.90","2.96","2.90","672.10K","-0.34%"
"Dec 22, 2019","2.94","2.84","2.94","2.84","781.50K","0.68%"
"Dec 19, 2019","2.92","2.91","2.92","2.90","5.17","0.69%"
"Dec 18, 2019","2.90","2.96","2.96","2.90","5.25","-2.03%"
"Dec 17, 2019","2.96","2.90","3.00","2.90","6.03","3.50%"
"Dec 16, 2019","2.86","2.82","2.90","2.82","986.60K","-1.38%"
"Dec 15, 2019","2.90","2.80","2.92","2.80","4.80","3.57%"
"Dec 12, 2019","2.80","2.77","2.80","2.77","1.80","1.45%"
"Dec 11, 2019","2.76","2.77","2.77","2.76","2.79","0.73%"
"Dec 10, 2019","2.74","2.80","2.80","2.74","909.70K","-2.14%"
"Dec 09, 2019","2.80","2.80","2.80","2.76","2.16","0.00%"
"Dec 08, 2019","2.80","2.74","2.81","2.74","2.43","2.19%"
"Dec 05, 2019","2.74","2.71","2.74","2.71","163.70K","1.11%"
"Dec 04, 2019","2.71","2.74","2.74","2.71","198.20K","0.00%"
"Nov 28, 2019","2.71","2.70","2.73","2.70","1.39","-0.37%"
"Nov 27, 2019","2.72","2.70","2.72","2.70","2.17","0.74%"
"Nov 26, 2019","2.70","2.70","2.71","2.69","1.32","0.37%"
"Nov 25, 2019","2.69","2.65","2.70","2.65","1.81","0.37%"
"Nov 24, 2019","2.68","2.66","2.68","2.66","330.70K","0.75%"
"Nov 21, 2019","2.66","2.64","2.66","2.64","2.74","1.14%"
"Nov 20, 2019","2.63","2.63","2.65","2.63","44.00K","-0.75%"
"Nov 19, 2019","2.65","2.65","2.66","2.64","1.26","0.00%"
"Nov 18, 2019","2.65","2.65","2.65","2.64","4.53","0.00%"
"Nov 17, 2019","2.65","2.65","2.65","2.65","242.00K","0.00%"
"Nov 14, 2019","2.65","2.66","2.66","2.65","119.20K","0.00%"
"Nov 13, 2019","2.65","2.62","2.67","2.62","574.90K","0.00%"
"Nov 12, 2019","2.65","2.65","2.66","2.65","2.99","0.00%"
"Nov 11, 2019","2.65","2.65","2.66","2.65","331.20K","0.00%"
"Nov 10, 2019","2.65","2.62","2.65","2.62","1.57","1.15%"
"Nov 07, 2019","2.62","2.63","2.65","2.62","462.70K","-0.76%"
"Nov 06, 2019","2.64","2.64","2.64","2.63","662.50K","0.38%"
"Nov 05, 2019","2.63","2.65","2.65","2.61","980.00K","0.00%"
"Nov 04, 2019","2.63","2.62","2.65","2.62","113.10K","0.38%"
"Nov 03, 2019","2.62","2.67","2.67","2.61","6.04","0.00%"
"Oct 31, 2019","2.62","2.63","2.64","2.62","3.25","-0.38%"
"Oct 30, 2019","2.63","2.62","2.64","2.62","108.70K","0.38%"
"Oct 29, 2019","2.62","2.65","2.66","2.62","656.30K","-1.13%"
"Oct 28, 2019","2.65","2.62","2.65","2.62","923.50K","0.38%"
"Oct 27, 2019","2.64","2.63","2.65","2.63","2.54","1.15%"
"Oct 24, 2019","2.61","2.62","2.64","2.61","592.20K","0.00%"
"Oct 23, 2019","2.61","2.64","2.64","2.61","129.20K","0.00%"
"Oct 22, 2019","2.61","2.62","2.64","2.61","1.07","-0.38%"
"Oct 21, 2019","2.62","2.63","2.63","2.62","1.08","0.38%"
"Oct 20, 2019","2.61","2.61","2.61","2.61","237.60K","0.00%"
"Oct 17, 2019","2.61","2.64","2.64","2.59","1.53","0.77%"
"Oct 16, 2019","2.59","2.60","2.61","2.59","847.60K","-0.38%"
"Oct 15, 2019","2.60","2.65","2.65","2.60","1.69","-1.14%"
"Oct 14, 2019","2.63","2.65","2.65","2.63","216.90K","0.00%"
"Oct 13, 2019","2.63","2.66","2.66","2.63","492.10K","-1.13%"
"Oct 10, 2019","2.66","2.63","2.67","2.63","207.90K","0.76%"
"Oct 09, 2019","2.64","2.63","2.66","2.63","336.30K","0.38%"
"Oct 08, 2019","2.63","2.63","2.64","2.62","168.30K","-2.59%"
"Oct 07, 2019","2.70","2.73","2.73","2.70","2.13","-1.10%"
"Oct 06, 2019","2.73","2.69","2.73","2.68","2.11","1.87%"
"Oct 03, 2019","2.68","2.66","2.68","2.66","1.21","-0.37%"
"Oct 02, 2019","2.69","2.69","2.69","2.66","6.30","0.00%"
"Oct 01, 2019","2.69","2.67","2.69","2.67","2.56","0.75%"
"Sep 30, 2019","2.67","2.69","2.69","2.66","3.38","0.75%"
"Sep 29, 2019","2.65","2.65","2.68","2.65","435.50K","-1.12%"
"Sep 26, 2019","2.68","2.65","2.69","2.65","2.81","1.13%"
"Sep 25, 2019","2.65","2.65","2.68","2.65","3.03","0.00%"
"Sep 24, 2019","2.65","2.65","2.68","2.65","427.50K","0.38%"
"Sep 23, 2019","2.64","2.66","2.70","2.64","2.79","-1.12%"
"Sep 22, 2019","2.67","2.62","2.69","2.62","616.00K","1.91%"
"Sep 19, 2019","2.62","2.67","2.67","2.62","41.44","-2.24%"
"Sep 18, 2019","2.68","2.69","2.70","2.68","1.23","0.75%"
"Sep 17, 2019","2.66","2.69","2.69","2.66","3.84","-0.37%"
"Sep 16, 2019","2.67","2.69","2.69","2.67","1.08","0.38%"
"Sep 15, 2019","2.66","2.65","2.69","2.64","476.20K","0.38%"
"Sep 12, 2019","2.65","2.69","2.70","2.65","5.56","-1.85%"
"Sep 11, 2019","2.70","2.69","2.70","2.69","2.61","0.00%"
"Sep 10, 2019","2.70","2.71","2.71","2.69","4.91","0.75%"
"Sep 09, 2019","2.68","2.69","2.70","2.67","3.27","0.00%"
"Sep 08, 2019","2.68","2.68","2.68","2.68","83.70K","-0.74%"
"Sep 05, 2019","2.70","2.70","2.70","2.69","767.40K","0.00%"
"Sep 04, 2019","2.70","2.67","2.70","2.67","8.59","1.89%"
"Sep 03, 2019","2.65","2.67","2.67","2.65","836.20K","-0.75%"
"Sep 02, 2019","2.67","2.67","2.70","2.66","11.91","1.14%"
"Sep 01, 2019","2.64","2.63","2.66","2.63","16.60K","0.38%"
"Aug 29, 2019","2.63","2.66","2.67","2.63","1.19","-1.50%"
"Aug 28, 2019","2.67","2.67","2.67","2.67","21.28","-0.37%"
"Aug 27, 2019","2.68","2.67","2.68","2.65","1.30","0.75%"
"Aug 26, 2019","2.66","2.67","2.67","2.66","2.79","0.76%"
"Aug 25, 2019","2.64","2.67","2.69","2.64","1.81","-1.49%"
"Aug 22, 2019","2.68","2.70","2.70","2.68","2.73","0.00%"
"Aug 21, 2019","2.68","2.70","2.70","2.68","2.27","-0.37%"
"Aug 20, 2019","2.69","2.69","2.71","2.69","70.60K","0.00%"
"Aug 19, 2019","2.69","2.68","2.72","2.68","454.40K","0.37%"
